Source,Organisation,Rating,Date,Review_text
Mouthshut,Amity University,1,[' 29 days ago  '],Amity university is a better university for studies.it is a higher building.but we can say that studies and building are not the only components hich a university has to take care.they are taking very much higher fees for their courses.i wnet there I was suprised by seeing their fees foe the courses.this ia totally unfair.they demand for very much higher fees which a normal student can't afford.they have to reduce their fees .sometime teacher is arriving late and many more problems are there according to my experence in this university.i only want that they reduce theie higher fees to lowee so that normal prsons also can apply
Mouthshut,Amity University,1,"[' Apr 23, 2019 ']","I began on 1st/ April/  2019, and I found out that the semester had already began from January 19 to May 15 as it will be the last day to send all the assignments and then sit for the exams in June, I requested for an extension because vikrant chaudhary the student recruiter never told me that the semester was ending very soon  but I was told that extensions are not given for the first semester and there was nothing they can do and that all I had to do was to finish all the courses before the deadlineAmity university onlineName: lutaaya paulEnrolment no: A1921219701Form no: 5039503Program: bachelors degree in business administrationSemester: first semesterFee: USD 500"
Mouthshut,Amity University,1,"[' Dec 11, 2018 ']","I used to work with the Kolkata unit of Amity in their management education wing. Being an insider would like to share some pointsThe management wing at Kolkata is headed by a lady who hardly fits in academia. Her credentials goes like - hotel management and then a distance MBA. Consequently, her vision is not at par with that of other management institutes' leadersPlacement is certainly a weak pointAdvertising about the institution is their forteThey beg for students. So, anyone who can pay the money can enterExtra curricular programs are limited to singing, dancing and occasional food stalls by the students."
Mouthshut,Amity University,3,"[' Apr 28, 2019 ']","I was a student of Amity University since 2014-2017. The standards and Quality of education in this institute is good. If you want a comfortable life while perceiving education, Amity is one of the good options only if you have enough money to afford their fee. Although if you are good in academics Amity Unversity also provide scholarships to the students."
Mouthshut,Amity University,1,"[' Oct 09, 2018 ']",I was Amity University Student in 2010-2013. I had completed master of computer application(MCA) here with 78% marks. But I am not Happy with Amity University because they have high rate or costly University as per campus facilities and Study material.All Facility was span time in the class room no practical discussion or practical Lab for MCA Student . Which one is mandatory right now marked competences.So I will suggest to you please skip this university .
Mouthshut,Amity University,3,"[' Jun 12, 2018 ']","Hi friends! here I would like to share my opinion about Amit university.A Amit university's head is Noida.Amity university was accrediated by NAAC with grade A in 2012.This collegue have a several branches from different places, like- noida, lucknow, jaipur, chennai, bangalore, hyderbad etc.Almost they run a  22 branches successfully.Here I finished my competitive intellengence and strategic management.Wow its given me a best identitiy to me. because they trained well and geiven the tricks.Its could be easily changed our life style because this one is mainly mainted by foreigners. so they trained his foreign style languag and provide a different languages like french, germany etc.The Language is must to attractive the interviews and personality developement too.In this college curriculative activies is sooo good .One drawback is its a foreign admin collegue so no word to say for enjoyments. who one likes to enjoyed his college days make a beautiful memorable those persons come and join here.A Faculity level is want to improve little better.The Alumini is awesome superb. they conduct beautifully and organised every year.Not bad. it give our cofindent level and training . India's best university ranking in 2014.The application cost is 1100rs."
Mouthshut,Amity University,1,"[' Apr 27, 2018 ']",This is the baddest university. I am from this university I just complete my BTech degree but now I have no placement so what to do without  getting a job and study frequently to create a build about job . the class and campus Sir good but it a many problems like they don't provide any plcement  or something bad about senior the final year student bullying us. Still I have to tell you that it is a very good University you can go but if you chance to go a government universities like iit you can go there and. its fees per annum about 11-12 lack. Overall it's a good University you can go there the teachers chnged your mentality by them.
Mouthshut,Amity University,2,"[' Mar 21, 2018 ']","I have recently completed my 4 years course from amity university. What I have observed is that I had been paying 2 lakhs per year to amity for nothing. If I talk about faculties in amity then I just want to say that my high school teachers were good than amity's faculties and this is the reality that amity spends 60% money on advertisement, no money for labs, try to find cheap faculties(they don't know anything about teaching that's why they are cheap) and no money for student's facilities. so, I recommend you that if you are going to take admission in amity then please invest your money somewhere else even you are getting only 0.2% benefit because once you take admission then you start wasting your money."
Mouthshut,Amity University,4,"[' Mar 15, 2018 ']","Amity is one of the eminent and renowned universities of India . it has its branch in many cities in India like mumbai, Gurugram, Noida, Jaipur etc. and even outside India.Academic programs- Amity offers various courses in the fields like sciences, commerce and humanities.Admissions are done through their own entrance tests and interviews by their faculty members. Scholarships are also provided in each year of the course depending on the scores. It also provides distance courses, online courses and international courses .Administration - Amity has an excellent administration. Managing so many campuses with such brilliancy from so many years and uplifting its  world ranking each year because of its administration skills. The main headquarter administrative office of Amity University is in Noida.Extracurricular programs - Amity University is known for the exposure it provides to the students in every field. It has a massive scale of extracurricular programs. Students get a chance and a huge platform to shine out in extracurricular programs.Alumni Network - Amity has an excellent alumini network growing all over the world every year. it has 60, 000 alumini till date as mentioned on theirwebsite ."
Mouthshut,Amity University,5,"[' Mar 13, 2018 ']","Hello guys. I was a student for Amity university for a long time. I Did my graduation & Masters from the same college whereas I loved being here.When we talk about academic programs in Amity you will get it all. See while I was studying in my graduation in Amity I was given the exposure of French, Behavioral science & communication skills which is very important to face the outside world whereas when we talk about the normal subject They were a complete mixture of everything and the most important to boost your confidence in Amity is to give presentation in front of the whole class and from that you will know that you are ready for the outside world or not. See the thing that is most important is a confidence which is boosted over here and that is what is expected from these kind of universities.When we talk about administration they have worked hard to maintain it but there are still a lot of flows in the administration of Amity university when we talk about the security refund part no information are given to student from where you can get it. Whereas for anything clearance you need to get approval from 10 places which is not that good. So I think if they can improve there administration it will be best for them.Ya the extracurricular is the most famous thing in Amity university they have for extracurricular Sagathan & AYF i.e. Amity youth fest. Then  for the students to have a relaxed time several stars also come and visit amity and this is also a fun time for all the students. Whereas, They have Foreign laguages in each semester and the most important Thing the 1 week Military training camp.Alumni network is also nice I graduated from 2014 batch and for the alumni meet I was called on 2017 so in after three years they arrange it and this shows that the alumni network is great and plus you get a placement mentor too which are your seniors who just cleared last year so they can help you out in getting a job and the placements are also good.All in all I had an amazing experience in Amity University. I studied graduation & then Post graduation from it. I leared a lot of things and got the placement in a prestigious company in Advertising field and I loved my job and all in all everything was amazing in Amity university it completely changes you."
